,gene_ids,feature_types,genome,mt,chromosome,start,end,cnv_called,highly_variable,means,dispersions,dispersions_norm
MPC2,ENSG00000143158.10_2,Gene Expression,GRCh37_liftover_v28,False,chr1,167916675.0,167937072.0,True,False,0.7766552600409247,1.0383793940215496,-0.687739
DNAJC15,ENSG00000120675.5_2,Gene Expression,GRCh37_liftover_v28,False,chr13,43023203.0,43114213.0,True,False,0.7764266555566455,1.0035985054983938,-0.7785658
KHDRBS1,ENSG00000121774.17_2,Gene Expression,GRCh37_liftover_v28,False,chr1,32013868.0,32060850.0,True,False,0.7761878285890955,1.0764627242633211,-0.58828825
RNF7,ENSG00000114125.13_2,Gene Expression,GRCh37_liftover_v28,False,chr3,141738249.0,141747560.0,True,False,0.7758199255030304,1.010405434564466,-0.76079017
HNRNPR,ENSG00000125944.19_3,Gene Expression,GRCh37_liftover_v28,False,chr1,23303771.0,23344336.0,True,False,0.7756933595643459,1.1168281764229446,-0.4828779
LCP2,ENSG00000043462.11_3,Gene Expression,GRCh37_liftover_v28,False,chr5,170246233.0,170297815.0,True,False,0.7748873256390263,1.2833388064265259,-0.04805212
TOP1,ENSG00000198900.5_2,Gene Expression,GRCh37_liftover_v28,False,chr20,41028822.0,41124487.0,True,False,0.7743831604530579,1.208363073668306,-0.2438437
EVI2A,ENSG00000126860.11_3,Gene Expression,GRCh37_liftover_v28,False,chr17,31316410.0,31321749.0,True,False,0.7729567195362094,1.346886491584997,0.117896274
MPHOSPH8,ENSG00000196199.13_2,Gene Expression,GRCh37_liftover_v28,False,chr13,19633659.0,19673441.0,True,False,0.7713934740069234,1.2008596674719152,-0.2634381
ZNF207,ENSG00000010244.18_4,Gene Expression,GRCh37_liftover_v28,False,chr17,32350132.0,32381885.0,True,False,0.7713249762857302,1.116931816057358,-0.48260725
IDS,ENSG00000010404.17_3,Gene Expression,GRCh37_liftover_v28,False,chrX,149476988.0,149521096.0,False,False,0.7703146596358479,1.2908945400157472,-0.02832108
PSMB7,ENSG00000136930.12_2,Gene Expression,GRCh37_liftover_v28,False,chr9,124353465.0,124415444.0,True,False,0.7699421929502356,0.9969860960689746,-0.79583347
AHNAK,ENSG00000124942.13_5,Gene Expression,GRCh37_liftover_v28,False,chr11,62433542.0,62556235.0,True,True,0.7698011921068575,1.6464357413720385,0.90013903
NAP1L4,ENSG00000205531.12_4,Gene Expression,GRCh37_liftover_v28,False,chr11,2944431.0,2992377.0,True,False,0.769785499826987,1.3968913462572408,0.24847893
UBE2N,ENSG00000177889.9_2,Gene Expression,GRCh37_liftover_v28,False,chr12,93405673.0,93441947.0,True,False,0.7687767845115738,1.1393062721430374,-0.4241786
GTF3C6,ENSG00000155115.6_2,Gene Expression,GRCh37_liftover_v28,False,chr6,110958706.0,110967890.0,True,False,0.768422858118947,1.0251936216276072,-0.7221723
RRBP1,ENSG00000125844.15_5,Gene Expression,GRCh37_liftover_v28,False,chr20,17613678.0,17682295.0,True,True,0.767641871936539,1.7260444185206953,1.1080291
CREG1,ENSG00000143162.7_2,Gene Expression,GRCh37_liftover_v28,False,chr1,167529117.0,167553805.0,True,True,0.7662456767792345,1.673186059448867,0.9699948
ADAR,ENSG00000160710.15_4,Gene Expression,GRCh37_liftover_v28,False,chr1,154581695.0,154628013.0,True,False,0.7647425668273605,1.1223676654904435,-0.46841207
PCSK7,ENSG00000160613.12_3,Gene Expression,GRCh37_liftover_v28,False,chr11,117204337.0,117232525.0,True,False,0.7619374570935256,1.4268156086944344,0.32662314
MGAT1,ENSG00000131446.16_4,Gene Expression,GRCh37_liftover_v28,False,chr5,180784780.0,180815652.0,True,False,0.7607059748821696,1.0833312875260313,-0.57035166
NUCB2,ENSG00000070081.16_4,Gene Expression,GRCh37_liftover_v28,False,chr11,17208153.0,17349980.0,True,True,0.7597906011791186,1.5425167922832905,0.62876517
RNH1,ENSG00000023191.16_2,Gene Expression,GRCh37_liftover_v28,False,chr11,494512.0,507300.0,True,False,0.7597602996708802,1.0407851041046068,-0.68145674
SERPINB1,ENSG00000021355.12_2,Gene Expression,GRCh37_liftover_v28,False,chr6,2832332.0,2841959.0,True,False,0.7595304299436978,1.1191483720859587,-0.47681895
MRPS34,ENSG00000074071.14_3,Gene Expression,GRCh37_liftover_v28,False,chr16,1771890.0,1773150.0,True,False,0.7594348171569818,1.031145080155806,-0.7066307
C6orf62,ENSG00000112308.12_2,Gene Expression,GRCh37_liftover_v28,False,chr6,24704861.0,24719998.0,True,False,0.7582244885889038,1.1297481012525454,-0.44913882
SYNGR2,ENSG00000108639.7_3,Gene Expression,GRCh37_liftover_v28,False,chr17,78168581.0,78173527.0,True,False,0.7581501885530572,1.1894942230102028,-0.29311782
CCDC167,ENSG00000198937.8_2,Gene Expression,GRCh37_liftover_v28,False,chr6,37482938.0,37499893.0,True,False,0.7572915635484438,1.30989933401445,0.02130803
TMEM165,ENSG00000134851.12_3,Gene Expression,GRCh37_liftover_v28,False,chr4,55395957.0,55453397.0,True,False,0.757011768487949,1.065470669050839,-0.6169929
NENF,ENSG00000117691.9_2,Gene Expression,GRCh37_liftover_v28,False,chr1,212432920.0,212446379.0,True,False,0.7569801155745639,1.082225782843014,-0.57323855
LAP3,ENSG00000002549.12_3,Gene Expression,GRCh37_liftover_v28,False,chr4,17577198.0,17607972.0,True,False,0.7568247904175053,1.2823586452391034,-0.050611712
ADGRE5,ENSG00000123146.19_3,Gene Expression,GRCh37_liftover_v28,False,chr19,14380501.0,14408725.0,True,False,0.7564908405332361,1.4826651516728995,0.4724686
GNB2,ENSG00000172354.9_3,Gene Expression,GRCh37_liftover_v28,False,chr7,100673567.0,100679174.0,True,False,0.7563271782046379,1.0357764972112564,-0.6945362
RHOC,ENSG00000155366.16_3,Gene Expression,GRCh37_liftover_v28,False,chr1,112701127.0,112707434.0,True,False,0.7547011528080357,1.4146301137682848,0.29480195
ARID5B,ENSG00000150347.15_3,Gene Expression,GRCh37_liftover_v28,False,chr10,61901684.0,62096944.0,True,True,0.754679839327039,1.577571625420753,0.72030735
KPNB1,ENSG00000108424.9_3,Gene Expression,GRCh37_liftover_v28,False,chr17,47649476.0,47685505.0,True,False,0.7543228317096244,1.1380355423044592,-0.427497
APLP2,ENSG00000084234.16_3,Gene Expression,GRCh37_liftover_v28,False,chr11,130068147.0,130144811.0,True,True,0.7534835929060612,1.6281481553276531,0.85238284
STUB1,ENSG00000103266.10_2,Gene Expression,GRCh37_liftover_v28,False,chr16,680224.0,682870.0,True,False,0.7529579693252928,1.0077807367308493,-0.76764435
CAST,ENSG00000153113.23_5,Gene Expression,GRCh37_liftover_v28,False,chr5,96525267.0,96779595.0,True,False,0.7526647141695785,1.1601335432923883,-0.3697903
PNN,ENSG00000100941.8_2,Gene Expression,GRCh37_liftover_v28,False,chr14,39175183.0,39183220.0,True,False,0.7524694312187773,1.262463699779619,-0.10256536
SH3GLB1,ENSG00000097033.14_3,Gene Expression,GRCh37_liftover_v28,False,chr1,86704570.0,86748184.0,True,False,0.7522505609293708,0.9959126789962033,-0.79863656
LSM2,ENSG00000204392.10_2,Gene Expression,GRCh37_liftover_v28,False,chr6,31797396.0,31806966.0,True,False,0.7522305685479925,1.1618065549549752,-0.36542138
CDC37,ENSG00000105401.8_3,Gene Expression,GRCh37_liftover_v28,False,chr19,10391133.0,10420121.0,True,False,0.7512297901021274,1.0978489153390205,-0.5324403
ITGAE,ENSG00000083457.11_2,Gene Expression,GRCh37_liftover_v28,False,chr17,3714628.0,3801188.0,True,True,0.7511443791426091,1.5031798113317418,0.52604055
PPP4C,ENSG00000149923.13_2,Gene Expression,GRCh37_liftover_v28,False,chr16,30075978.0,30085376.0,True,False,0.7505176012789261,1.077088414869478,-0.5866543
KDELR1,ENSG00000105438.8_2,Gene Expression,GRCh37_liftover_v28,False,chr19,48382575.0,48391551.0,True,False,0.7503061736072535,1.2004397618205391,-0.26453465
ORMDL1,ENSG00000128699.13_4,Gene Expression,GRCh37_liftover_v28,False,chr2,189770267.0,189784364.0,True,False,0.7500996305563269,1.0945834766120393,-0.5409677
NFKBIZ,ENSG00000144802.11_3,Gene Expression,GRCh37_liftover_v28,False,chr3,101827991.0,101861022.0,True,True,0.7500094170590069,1.5234952794988552,0.5790924
TLN1,ENSG00000137076.20_3,Gene Expression,GRCh37_liftover_v28,False,chr9,35696948.0,35732195.0,True,False,0.7491825165677923,1.1810916214025187,-0.31506038
PRKAR1A,ENSG00000108946.14_3,Gene Expression,GRCh37_liftover_v28,False,chr17,68511780.0,68551319.0,True,False,0.7489348913100248,1.1254832084406163,-0.46027616
SNX6,ENSG00000129515.18_3,Gene Expression,GRCh37_liftover_v28,False,chr14,34561093.0,34630160.0,True,False,0.7487443250260921,1.1348494466578027,-0.43581715
HAX1,ENSG00000143575.14_4,Gene Expression,GRCh37_liftover_v28,False,chr1,154272589.0,154275875.0,True,False,0.7481384264943927,1.1299540494686422,-0.448601
RAD23A,ENSG00000179262.9_2,Gene Expression,GRCh37_liftover_v28,False,chr19,12945855.0,12953642.0,True,False,0.7477511142129851,1.0235744683866121,-0.7264006
ROCK1,ENSG00000067900.7_3,Gene Expression,GRCh37_liftover_v28,False,chr18,20946906.0,21111813.0,True,False,0.747610933144005,1.1694607095866942,-0.34543332
GBP2,ENSG00000162645.12_3,Gene Expression,GRCh37_liftover_v28,False,chr1,89106132.0,89150456.0,True,True,0.7468522355678213,1.5658559109961867,0.6897129
CCT3,ENSG00000163468.14_2,Gene Expression,GRCh37_liftover_v28,False,chr1,156308968.0,156367873.0,True,False,0.7464944480512655,1.1082135861344962,-0.505374
NR3C1,ENSG00000113580.14_4,Gene Expression,GRCh37_liftover_v28,False,chr5,143277931.0,143435512.0,True,True,0.7457742099115923,1.566217890159963,0.6906582
CCT4,ENSG00000115484.14_2,Gene Expression,GRCh37_liftover_v28,False,chr2,61868085.0,61888671.0,True,False,0.7448402477236862,1.0615981077678998,-0.62710565
ZEB2,ENSG00000169554.19_4,Gene Expression,GRCh37_liftover_v28,False,chr2,144364364.0,144521057.0,True,True,0.7435224428022225,1.5114643305501492,0.5476748
MDH1,ENSG00000014641.17_2,Gene Expression,GRCh37_liftover_v28,False,chr2,63588609.0,63607197.0,True,False,0.7422948252998346,1.030826651750964,-0.70746225
SAMHD1,ENSG00000101347.9_3,Gene Expression,GRCh37_liftover_v28,False,chr20,36890229.0,36951893.0,True,False,0.7408973934501619,1.2941913030552215,-0.019711915
TFRC,ENSG00000072274.12_2,Gene Expression,GRCh37_liftover_v28,False,chr3,196027183.0,196082096.0,True,True,0.7398765983065357,1.8522261346952815,1.4375399
TRAF3IP3,ENSG00000009790.14_4,Gene Expression,GRCh37_liftover_v28,False,chr1,209756032.0,209782320.0,True,False,0.7393019368817993,1.3860929785512586,0.22028008
ZBTB38,ENSG00000177311.11_4,Gene Expression,GRCh37_liftover_v28,False,chr3,141324213.0,141449792.0,True,False,0.7392627529062668,1.429379889380867,0.3333195
FGL2,ENSG00000127951.6_3,Gene Expression,GRCh37_liftover_v28,False,chr7,77193369.0,77199848.0,True,True,0.7391552944484123,2.11843952858165,2.1327295
DDX46,ENSG00000145833.15_4,Gene Expression,GRCh37_liftover_v28,False,chr5,134758771.0,134855133.0,True,False,0.7386328362053818,1.1418261354348993,-0.41759825
SLC2A3,ENSG00000059804.15_2,Gene Expression,GRCh37_liftover_v28,False,chr12,7919230.0,7936187.0,True,True,0.738247356094412,1.6903825428506283,1.0149016
DOCK8,ENSG00000107099.15_3,Gene Expression,GRCh37_liftover_v28,False,chr9,214854.0,465259.0,True,False,0.7382089595887847,1.196647382814698,-0.27443805
ANXA6,ENSG00000197043.13_2,Gene Expression,GRCh37_liftover_v28,False,chr5,151100706.0,151157785.0,True,False,0.7381997820294582,1.2796654979371942,-0.057644594
IKZF3,ENSG00000161405.16_2,Gene Expression,GRCh37_liftover_v28,False,chr17,39757718.0,39864312.0,True,True,0.7375971991947391,1.5771399279580556,0.71918
G3BP2,ENSG00000138757.14_2,Gene Expression,GRCh37_liftover_v28,False,chr4,75641849.0,75724589.0,True,False,0.7374352583212537,1.3393591932511135,0.09823949
TGOLN2,ENSG00000152291.13_2,Gene Expression,GRCh37_liftover_v28,False,chr2,85318027.0,85328251.0,True,False,0.737078642980315,1.089327925784046,-0.55469203
LAMP2,ENSG00000005893.15_3,Gene Expression,GRCh37_liftover_v28,False,chrX,120426148.0,120469365.0,False,False,0.7370466855320981,1.2039150117695794,-0.25545937
PAK2,ENSG00000180370.10_2,Gene Expression,GRCh37_liftover_v28,False,chr3,196739857.0,196832647.0,True,False,0.7363001798261121,1.1527577805369624,-0.38905135
BRD2,ENSG00000204256.12_5,Gene Expression,GRCh37_liftover_v28,False,chr6,32968594.0,32981505.0,True,False,0.7361756928862058,1.167888348254455,-0.3495394
ETFB,ENSG00000105379.9_3,Gene Expression,GRCh37_liftover_v28,False,chr19,51345169.0,51366388.0,True,False,0.7350007298620675,1.0659205250956492,-0.61581814
PFDN2,ENSG00000143256.4_2,Gene Expression,GRCh37_liftover_v28,False,chr1,161100556.0,161118055.0,True,False,0.7349732908251242,1.0281530503417047,-0.7144441
TUBA4A,ENSG00000127824.13_3,Gene Expression,GRCh37_liftover_v28,False,chr2,219249710.0,219277902.0,True,True,0.734850097982132,1.5329456329164772,0.60377103
PSMD7,ENSG00000103035.10_2,Gene Expression,GRCh37_liftover_v28,False,chr16,74296814.0,74306288.0,True,False,0.733821075409714,1.009720121236023,-0.7625798
RPA3,ENSG00000106399.11_2,Gene Expression,GRCh37_liftover_v28,False,chr7,7636518.0,7718607.0,True,False,0.7336908428771187,1.2639157146055944,-0.09877357
RAB2A,ENSG00000104388.14_3,Gene Expression,GRCh37_liftover_v28,False,chr8,60516936.0,60623644.0,True,False,0.7335934419213431,0.9808300529147508,-0.8380233
TBCB,ENSG00000105254.11_3,Gene Expression,GRCh37_liftover_v28,False,chr19,36114289.0,36125947.0,True,False,0.733196402358161,1.2477744818259253,-0.14092478
TPP1,ENSG00000166340.16_4,Gene Expression,GRCh37_liftover_v28,False,chr11,6612768.0,6619448.0,True,False,0.7321058472966332,1.282774066806662,-0.04952688
PSMC5,ENSG00000087191.12_3,Gene Expression,GRCh37_liftover_v28,False,chr17,63827152.0,63832026.0,True,False,0.7311928952150185,1.0331255735383125,-0.7014588
RNASEH2C,ENSG00000172922.9_3,Gene Expression,GRCh37_liftover_v28,False,chr11,65714005.0,65720818.0,True,False,0.7310884355884035,1.0645794328553837,-0.6193202
EIF3J,ENSG00000104131.12_3,Gene Expression,GRCh37_liftover_v28,False,chr15,44537125.0,44563029.0,True,False,0.7308559252933055,1.1337110858466901,-0.43878987
TNRC6B,ENSG00000100354.20_5,Gene Expression,GRCh37_liftover_v28,False,chr22,40044817.0,40335808.0,True,False,0.7307395491072854,1.3044641439084381,0.0071145766
TMEM208,ENSG00000168701.18_2,Gene Expression,GRCh37_liftover_v28,False,chr16,67227103.0,67229278.0,True,False,0.7289645924013878,1.1462079978593498,-0.40615544
DNAJC3,ENSG00000102580.14_3,Gene Expression,GRCh37_liftover_v28,False,chr13,95677139.0,95794988.0,True,False,0.7281324042084445,1.2551061212486236,-0.12177894
RAB5C,ENSG00000108774.14_3,Gene Expression,GRCh37_liftover_v28,False,chr17,42124978.0,42155044.0,True,False,0.7274221617173711,1.0171695787357184,-0.74312633
IFITM3,ENSG00000142089.15_4,Gene Expression,GRCh37_liftover_v28,False,chr11,319676.0,329475.0,True,True,0.7273225698901902,2.2714561046117137,2.532317
RTF1,ENSG00000137815.14_2,Gene Expression,GRCh37_liftover_v28,False,chr15,41408408.0,41483563.0,True,False,0.7265236905536662,1.1469857273297077,-0.4041245
ACTN4,ENSG00000130402.11_3,Gene Expression,GRCh37_liftover_v28,False,chr19,38647649.0,38731589.0,True,False,0.7257198237164084,1.3175993579055159,0.041415866
ARPC5L,ENSG00000136950.13_2,Gene Expression,GRCh37_liftover_v28,False,chr9,124862130.0,124877733.0,True,False,0.7243445426924148,1.2055859389221766,-0.25109592
DHRS7,ENSG00000100612.13_2,Gene Expression,GRCh37_liftover_v28,False,chr14,60144119.0,60169856.0,True,False,0.7241651484892415,1.0668457245890461,-0.61340207
MRPL54,ENSG00000183617.4_2,Gene Expression,GRCh37_liftover_v28,False,chr19,3762682.0,3768575.0,True,False,0.7238312872923424,1.0146820403081886,-0.7496223
TXNDC15,ENSG00000113621.14_4,Gene Expression,GRCh37_liftover_v28,False,chr5,134874371.0,134901635.0,True,False,0.7235252615655094,1.4604605039776335,0.4144834
HSPH1,ENSG00000120694.19_3,Gene Expression,GRCh37_liftover_v28,False,chr13,31134973.0,31162388.0,True,True,0.7227944433652684,1.6992634302747196,1.0380932
SH3KBP1,ENSG00000147010.17_3,Gene Expression,GRCh37_liftover_v28,False,chrX,19533977.0,19887600.0,False,False,0.7225610302959646,1.2549713823723059,-0.1221308
RAB27A,ENSG00000069974.15_3,Gene Expression,GRCh37_liftover_v28,False,chr15,55202966.0,55319113.0,True,True,0.7214736242180293,1.4998772745484352,0.51741636
HP1BP3,ENSG00000127483.17_3,Gene Expression,GRCh37_liftover_v28,False,chr1,20740266.0,20787323.0,True,False,0.7210292282907278,1.189468519624711,-0.29318494
RAB1A,ENSG00000138069.16_2,Gene Expression,GRCh37_liftover_v28,False,chr2,65070696.0,65130331.0,True,False,0.7208191172941442,1.0193863962791403,-0.7373373
MRFAP1,ENSG00000179010.14_2,Gene Expression,GRCh37_liftover_v28,False,chr4,6640091.0,6642729.0,True,False,0.7208169755005345,1.0521029435437979,-0.65190136
SF3B2,ENSG00000087365.15_4,Gene Expression,GRCh37_liftover_v28,False,chr11,66050729.0,66069308.0,True,False,0.7207982407107504,1.0903876176270872,-0.55192477
RPN1,ENSG00000163902.11_3,Gene Expression,GRCh37_liftover_v28,False,chr3,128619969.0,128681075.0,True,False,0.7206428531214284,1.104599899700044,-0.5148108
ZC3H15,ENSG00000065548.17_3,Gene Expression,GRCh37_liftover_v28,False,chr2,186486253.0,186509361.0,True,False,0.7201424359568472,1.066633601165452,-0.613956
SLC16A3,ENSG00000141526.16_3,Gene Expression,GRCh37_liftover_v28,False,chr17,82217934.0,82261129.0,True,False,0.719411906881596,1.4345533987945143,0.3468296
DERL1,ENSG00000136986.9_2,Gene Expression,GRCh37_liftover_v28,False,chr8,123013170.0,123042302.0,True,False,0.7189515280841012,1.1571151080439182,-0.3776726
EMB,ENSG00000170571.11_3,Gene Expression,GRCh37_liftover_v28,False,chr5,50396192.0,50443248.0,True,False,0.7189332119683668,1.3326571762821515,0.080737844
TAGAP,ENSG00000164691.17_3,Gene Expression,GRCh37_liftover_v28,False,chr6,159034468.0,159045152.0,True,True,0.7187357234424013,1.5195525717511633,0.5687964
MAP2K2,ENSG00000126934.13_2,Gene Expression,GRCh37_liftover_v28,False,chr19,4090321.0,4124122.0,True,False,0.7180391245988278,1.1289104729237296,-0.4513262
LRPAP1,ENSG00000163956.10_2,Gene Expression,GRCh37_liftover_v28,False,chr4,3503612.0,3532446.0,True,False,0.7172614480588521,1.0228384309377805,-0.7283227
TAF7,ENSG00000178913.7_3,Gene Expression,GRCh37_liftover_v28,False,chr5,141259884.0,141320784.0,True,False,0.7170697709100098,1.2217329129711263,-0.20892972
GTF2A2,ENSG00000140307.10_3,Gene Expression,GRCh37_liftover_v28,False,chr15,59638062.0,59657541.0,True,False,0.7169850349379464,0.9784248804429324,-0.8443042
NCF1,ENSG00000158517.13_3,Gene Expression,GRCh37_liftover_v28,False,chr7,74774011.0,74789315.0,True,False,0.7169620099173257,1.3714800204021405,0.1821198
TAF1D,ENSG00000166012.16_3,Gene Expression,GRCh37_liftover_v28,False,chr11,93729948.0,93784391.0,True,False,0.7165979633321702,1.1680887993475837,-0.34901592
CTNNB1,ENSG00000168036.17_4,Gene Expression,GRCh37_liftover_v28,False,chr3,41194741.0,41260096.0,True,False,0.7165650809039931,1.4051651479132887,0.27008513
VASP,ENSG00000125753.13_2,Gene Expression,GRCh37_liftover_v28,False,chr19,45506579.0,45526983.0,True,False,0.7164436046321743,1.16249369881948,-0.363627
TMEM14C,ENSG00000111843.13_2,Gene Expression,GRCh37_liftover_v28,False,chr6,10722915.0,10731129.0,True,False,0.7158116609429858,1.026873054248685,-0.71778667
KIF5B,ENSG00000170759.10_2,Gene Expression,GRCh37_liftover_v28,False,chr10,32009015.0,32056425.0,True,False,0.7149560662778724,1.0474008461355897,-0.6641804
SSB,ENSG00000138385.15_2,Gene Expression,GRCh37_liftover_v28,False,chr2,169791933.0,169812064.0,True,False,0.7136375497190512,1.1005873200121314,-0.52528924
NHP2,ENSG00000145912.8_2,Gene Expression,GRCh37_liftover_v28,False,chr5,178149463.0,178153894.0,True,False,0.7134411926357509,1.140766510113516,-0.42036533
TP53INP1,ENSG00000164938.13_2,Gene Expression,GRCh37_liftover_v28,False,chr8,94925972.0,94949378.0,True,True,0.712614430381688,2.130619110873989,2.1645353
C1QBP,ENSG00000108561.8_3,Gene Expression,GRCh37_liftover_v28,False,chr17,5432777.0,5448830.0,True,False,0.7123970255174484,1.034110616168145,-0.6988865
TXNL4A,ENSG00000141759.14_2,Gene Expression,GRCh37_liftover_v28,False,chr18,79970813.0,80033949.0,True,False,0.7123565024063834,1.022854151810902,-0.7282816
SVIP,ENSG00000198168.8_2,Gene Expression,GRCh37_liftover_v28,False,chr11,22813799.0,22830299.0,True,False,0.7122315020643476,1.3002302726392054,-0.003941753
PLIN2,ENSG00000147872.9_3,Gene Expression,GRCh37_liftover_v28,False,chr9,19108375.0,19149290.0,True,True,0.7121997615458855,1.9947770258671595,1.8097973
PTPN6,ENSG00000111679.16_3,Gene Expression,GRCh37_liftover_v28,False,chr12,6946468.0,6961316.0,True,False,0.7121301436221406,1.2216115208151803,-0.20924672
AUP1,ENSG00000115307.16_2,Gene Expression,GRCh37_liftover_v28,False,chr2,74526645.0,74529760.0,True,False,0.71158764146444,1.027020451259279,-0.71740174
METTL9,ENSG00000197006.13_3,Gene Expression,GRCh37_liftover_v28,False,chr16,21597218.0,21657471.0,True,False,0.711116563551424,1.175062778284488,-0.33080408
ANP32A,ENSG00000140350.15_3,Gene Expression,GRCh37_liftover_v28,False,chr15,68778535.0,68820897.0,True,False,0.7105691171792641,1.0784168131504408,-0.5831853
MYCBP2,ENSG00000005810.17_1,Gene Expression,GRCh37_liftover_v28,False,chr13,77042474.0,77327094.0,True,False,0.7103915827330388,1.2238046385934511,-0.20351961
ARPP19,ENSG00000128989.10_2,Gene Expression,GRCh37_liftover_v28,False,chr15,52547045.0,52569883.0,True,False,0.7102229554798754,1.1334582917287155,-0.43945003
FAM133B,ENSG00000234545.7_3,Gene Expression,GRCh37_liftover_v28,False,chr7,92560758.0,92590393.0,True,False,0.7095607416176886,1.214658653651015,-0.22740343
LAT,ENSG00000213658.11_4,Gene Expression,GRCh37_liftover_v28,False,chr16,28984826.0,28990784.0,True,True,0.7088235486266155,1.5746287920045199,0.7126224
WNK1,ENSG00000060237.16_4,Gene Expression,GRCh37_liftover_v28,False,chr12,752579.0,911452.0,True,False,0.7078397729116946,1.2017257487977737,-0.2611764
VKORC1,ENSG00000167397.14_3,Gene Expression,GRCh37_liftover_v28,False,chr16,31090842.0,31095980.0,True,False,0.7077321043182587,1.0053415420795309,-0.77401406
ERN1,ENSG00000178607.15_2,Gene Expression,GRCh37_liftover_v28,False,chr17,64039080.0,64130819.0,True,True,0.7077152217905913,1.8910561753027202,1.5389407
VSIR,ENSG00000107738.19_4,Gene Expression,GRCh37_liftover_v28,False,chr10,71747556.0,71773520.0,True,False,0.7063913137649003,1.1869225370057317,-0.2998335
MAFB,ENSG00000204103.3_2,Gene Expression,GRCh37_liftover_v28,False,chr20,40685848.0,40689236.0,True,True,0.7063840190676229,2.103018258041944,2.0924585
SUMO3,ENSG00000184900.15_2,Gene Expression,GRCh37_liftover_v28,False,chr21,44805617.0,44818779.0,True,False,0.7057729057852762,1.0707524799652148,-0.60319996
POLR2I,ENSG00000105258.8_2,Gene Expression,GRCh37_liftover_v28,False,chr19,36113709.0,36115213.0,True,False,0.7051685605044692,1.058396132591341,-0.6354673
FLNA,ENSG00000196924.15_3,Gene Expression,GRCh37_liftover_v28,False,chrX,154348524.0,154374634.0,False,False,0.7048902089774692,1.335948623683836,0.08933313
PCNP,ENSG00000081154.11_2,Gene Expression,GRCh37_liftover_v28,False,chr3,101574180.0,101594465.0,True,False,0.7048684324209166,1.1285887965237404,-0.45216623
PMAIP1,ENSG00000141682.11_2,Gene Expression,GRCh37_liftover_v28,False,chr18,59899996.0,59904305.0,True,True,0.7040190729724124,2.006525649550046,1.8404777
UQCRC2,ENSG00000140740.10_2,Gene Expression,GRCh37_liftover_v28,False,chr16,21953288.0,21983660.0,True,False,0.703837561660774,0.9907256793500606,-0.8121819
WTAP,ENSG00000146457.14_2,Gene Expression,GRCh37_liftover_v28,False,chr6,159725585.0,159756319.0,True,False,0.7029554621912844,1.1625574814469026,-0.36346042
DGUOK,ENSG00000114956.19_2,Gene Expression,GRCh37_liftover_v28,False,chr2,73926826.0,73958961.0,True,False,0.7029265629322917,1.1571792031148294,-0.37750524
VCP,ENSG00000165280.15_3,Gene Expression,GRCh37_liftover_v28,False,chr9,35053928.0,35072668.0,True,False,0.7016115561833879,1.056164881423655,-0.641294
FAM177A1,ENSG00000151327.12_5,Gene Expression,GRCh37_liftover_v28,False,chr14,35044907.0,35113130.0,True,False,0.7015634946251986,1.1543649967869678,-0.38485426
TGFB1,ENSG00000105329.9_2,Gene Expression,GRCh37_liftover_v28,False,chr19,41301587.0,41353922.0,True,False,0.7015007930968739,1.1619385191029856,-0.36507678
DNAJC1,ENSG00000136770.10_3,Gene Expression,GRCh37_liftover_v28,False,chr10,21756548.0,22003769.0,True,False,0.7011423409769316,1.2479590383930677,-0.14044283
C1orf43,ENSG00000143612.19_2,Gene Expression,GRCh37_liftover_v28,False,chr1,154206696.0,154220637.0,True,False,0.7011146226431405,0.9732033236522087,-0.8579398
RNPS1,ENSG00000205937.11_4,Gene Expression,GRCh37_liftover_v28,False,chr16,2253116.0,2268397.0,True,False,0.7007103393193683,1.1475520909013084,-0.40264547
TANK,ENSG00000136560.13_3,Gene Expression,GRCh37_liftover_v28,False,chr2,161136908.0,161236230.0,True,False,0.698739873543156,1.2891317887362257,-0.032924328
SRSF10,ENSG00000188529.14_3,Gene Expression,GRCh37_liftover_v28,False,chr1,23964347.0,23980927.0,True,False,0.6986840521579308,1.1474879219533587,-0.40281305
CHMP5,ENSG00000086065.13_2,Gene Expression,GRCh37_liftover_v28,False,chr9,33264879.0,33282070.0,True,False,0.6983948697591602,1.0611867155998662,-0.62817997
EIF4A1,ENSG00000161960.14_3,Gene Expression,GRCh37_liftover_v28,False,chr17,7572824.0,7579006.0,True,False,0.6982721331466044,1.0830250828618948,-0.57115126
MS4A4A,ENSG00000110079.16_3,Gene Expression,GRCh37_liftover_v28,False,chr11,60185657.0,60318080.0,True,True,0.6979312063856649,2.043822805812729,1.9378754
THRAP3,ENSG00000054118.13_4,Gene Expression,GRCh37_liftover_v28,False,chr1,36224432.0,36305357.0,True,False,0.6978017558525942,1.118819425946193,-0.47767794
EIF1B,ENSG00000114784.3_2,Gene Expression,GRCh37_liftover_v28,False,chr3,40309707.0,40312424.0,True,False,0.6969530574762449,1.056041310656182,-0.6416167
TPR,ENSG00000047410.13_2,Gene Expression,GRCh37_liftover_v28,False,chr1,186311652.0,186375693.0,True,False,0.696695465974272,1.291661404738049,-0.02631849
ABI3,ENSG00000108798.8_4,Gene Expression,GRCh37_liftover_v28,False,chr17,49210411.0,49223225.0,True,False,0.6963172339365967,1.3997506044617583,0.2559456
